id,artist,lastfm_artist_bio
144,Falco,"Johann ""Hans"" Hölzel (19 February 1957 – 6 February 1998), better known by his stage name Falco (from Falko Weißpflog), was an Austrian singer and musician. He had several international hits, including ""Der Kommissar"" (1981), ""Rock Me Amadeus"", ""Vienna Calling"", ""Jeanny"", ""The Sound of Musik"", ""Coming Home (Jeanny Part II, One Year Later)"", and posthumously ""Out of the Dark"".

""Rock Me Amadeus"" reached No. 1 on the Billboard charts in 1986, making Read more on Last.fm"
145,Fall Out Boy,"Fall Out Boy are a pop punk band formed in 2001 in Glenview, Illinois after good friends Joe Trohman and Pete Wentz met high schooler Patrick Stump. Stump originally auditioned as a drummer, but soon became the lead singer. The following year, the band debuted with a self-released demo and followed it up with the May 28, 2002 release of Split EP, which featured Project Rocket, on Uprising Records. The group released a mini-LP, Evening Out With Your Girlfriend, also on Uprising Records, in 2003. Read more on Last.fm"
146,Fastball,"Fastball is an American power pop / rock n roll band that formed in Austin, Texas in the 1990s. The band originally called themselves ""Magneto U.S.A"" but changed their name after signing with Hollywood Records. They released their first album, Make Your Mama Proud, in 1996.

Fastball consists of Miles Zuniga (lead guitar and vocals), Tony Scalzo (bass and vocals), and Joey Shuffield (drums). They released one breakout hit single, ""The Way"", in 1998. Read more on Last.fm"
147,Fatboy Slim,"Fatboy Slim is a pseudonym of Quentin Leo Cook (b. 31 Jul 1963 in Reigate, Surrey - aka Norman Cook), an English big beat musician.

Quentin Leo Cook was educated at Reigate Grammar School. He started a punk fanzine titled Peroxide with his neighbour Andrew Thomas and art student Ian McKay (formerly Laidlaw). Contemporary with his publishing activities, he played drums in Disque Attack (a British new-wave-influenced rock band) for which he later performed lead vocals. Read more on Last.fm"
148,Fifth Harmony,"Fifth Harmony (commonly initialized as 5H) is a four-member American girl group formed on the second season of The X Factor in 2012. The group are from Miami, Florida, United States and consist of Ally Brooke, Normani, Dinah Jane and Lauren Jauregui. Camila Cabello left the group on the 18th of December 2016. 

They signed a joint deal with Syco Music, owned by Simon Cowell, and Epic Records, L.A. Reid's record label, after finishing in third place behind Tate Stevens and Carly Rose Sonenclar on the show. Read more on Last.fm"
149,Fiona Apple,"Fiona Apple McAfee-Maggart (born September 13, 1977) is an American singer-songwriter. She is known for her songwriting and has released five albums between 1996 and 2020, all of which reached the top 20 on the U.S. Billboard 200 chart. As of 2021, she has sold over 15 million records worldwide. Apple has received several awards, including three Grammy Awards, two MTV Video Music Awards, and a Billboard Music Video Award.

Apple is the youngest daughter of actor Brandon Maggart and was born in New York City. Read more on Last.fm"
150,Fleetwood Mac,"Fleetwood Mac are a British-American rock band, formed in London in 1967. Fleetwood Mac was founded by guitarist Peter Green, drummer Mick Fleetwood and guitarist Jeremy Spencer, before bassist John McVie joined the lineup for their self-titled debut album. Danny Kirwan joined as a third guitarist in 1968. Keyboardist Christine Perfect (later known as Christine McVie), who contributed as a session musician from the second album, married McVie and joined in 1970. Read more on Last.fm"
151,Flo-Rida,"Flo Rida (pronounced flow-ri-duh) (born as Tremar Dillard in Opa-Locka, Florida) is a Florida born American rapper. He is currently signed to Poe Boy Entertainment as of 2007. He made his mainstream debut in the song ""Bitch I'm From Dade County"" on DJ Khaled's album ""We the Best"". He started appearing in mixtapes in 2006, and began affiliating himself with other known Florida rappers such as Rick Ross and Trick Daddy. Since ""We the Best"", Flo Rida has released a street single entitled Birthday, featuring Rick Ross. Read more on Last.fm"
152,Foo Fighters,"Foo Fighters is an American rock band formed in Seattle in 1994. Foo Fighters was initially formed as a one-man project by former Nirvana drummer Dave Grohl. Following the success of the eponymous debut album, Grohl (lead vocals, guitar) recruited a band consisting of Nate Mendel (bass guitar), William Goldsmith (drums), and Pat Smear (guitar). After a succession of lineup changes, including the departures of Goldsmith and Smear, the band formed its core lineup in 1999 consisting of Grohl Read more on Last.fm"
153,Foreigner,"Foreigner is a British-American rock band, originally formed in 1976 by the veteran English musician Mick Jones and fellow Briton and ex-King Crimson member Ian McDonald along with American vocalist Lou Gramm.

The current incarnation of the band includes Jones, lead vocalist Kelly Hansen, bass guitarist Jeff Pilson and multi-instrumentalist Tom Gimbel.

With ten multi-platinum albums and sixteen Top 30 hits, Foreigner is universally hailed as one Read more on Last.fm"
154,Frank Sinatra,"Francis Albert Sinatra (December 12, 1915 – May 14, 1998) was an American singer, actor, and producer who was one of the most popular and influential musical artists of the 20th century. He is one of the best-selling music artists of all time, having sold more than 150 million records worldwide. 

Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey. Sinatra found success as a solo artist after he signed with Columbia Records in 1943 Read more on Last.fm"
155,Frank Zappa,"Frank Vincent Zappa (born December 21, 1940 in Baltimore, Maryland, United States – December 4, 1993 in Los Angeles, California, United States) was an American composer, guitarist, singer, bandleader and producer. He was one of the most prolific musicians of his time, releasing over fifty albums of original material spanning over a thirty-five year career.

Zappa's earliest influences were 1950s pop and rock (such as doo-wop and rhythm and blues), and 20th-century classical composers including Igor Stravinsky and Edgard Varèse. Read more on Last.fm"
156,Frankie Goes To Hollywood,"Frankie Goes To Hollywood (FGTH) were one of the most controversial and commercially-successful U.K. pop acts of the mid-80s. The Liverpool-based new wave group was fronted by vocalist Holly Johnson and supported by Paul Rutherford (backing vocals), Peter Gill (drums), Mark O'Toole (bass) and Brian Nash (aka  Nasher, guitar).

The group's debut single, titled ""Relax"", was famously banned by the BBC and subsequently topped the U.K. singles chart for five weeks, enjoying prolonged chart success throughout 1984. Read more on Last.fm"
157,Frankie Laine,"Frankie Laine, born Francesco Paolo LoVecchio (30 March 1913 – 6 February 2007), was an American singer and one of the more successful hit-makers of the late 1940s and early 1950s.   Laine has had worldwide sales of over 250 million disks, and has earned 21 gold records. Originally a rhythm and blues influenced jazz singer, his energetic, passionate style has led some to consider him the first of the blue-eyed soul singers.  Eventually he expanded to such varied genres as popular standards Read more on Last.fm"
158,Frankie Valli,"Frankie Valli (born 3 May 1934 in the Italian First Ward of Newark, New Jersey, USA as Francis Stephen Castelluccio) is best known as the lead singer of The Four Seasons. The band was one of the biggest music acts of the 1960s. During his tenure with the group Valli released several albums as a solo artist. His best known solo single is 1967's ""Can't Take My Eyes Off You."" He also enjoyed a string of hit singles during the disco era, including ""My Eyes Adored You"" (U. Read more on Last.fm"
159,Freddie Aguilar,"Freddie Aguilar is a Pinoy rock musician from the Philippines. He is best known for the hit ""Bayan Ko"", which became anthem for the opposition to the Marcos regime during the 1986 rebellion. One of his hits ""Anak"" (Filipino word for child), became a worldwide hit ,released in over 50 countries, and was translated to over 20 languages. Read more on Last.fm"
160,Freddie King,"Freddie King (September 3, 1934 – December 28, 1976), thought to have been born as Frederick Christian in Gilmer, Texas, originally recording as Freddy King, and nicknamed ""the Texas Cannonball"", was an influential African-American blues guitarist and singer. He is often mentioned as one of ""the Three Kings"" of electric blues guitar, along with Albert King and B.B. King (though he was the youngest of the three).

King's mother, Ella May King, and her brother, who both played the guitar, began teaching him to play at the age of six. Read more on Last.fm"
161,Free,"Free was an English rock band formed in London in 1968 by Paul Rodgers (vocals), Paul Kossoff (guitar), Andy Fraser (bass, piano), and Simon Kirke (drums, percussion). The band is best known for the songs ""All Right Now"" and ""Wishing Well"". Although initially more successful as a live act, their commercial breakthrough came with their third studio album, ""Fire and Water"" (1970), which included ""All Right Now"". This track contributed to their appearance at the 1970 Isle of Wight Festival Read more on Last.fm"
162,Freestyle,"There is more than one artist with the name Freestyle:

1. Swedish synthpop group from the early 1980s

2. Electro artist Tony Butler

3. Filipino band

4. American MC from Arsonists.

5. Korean band - use this tag - 프리스타일

6. Canadian skate punk band in the late '90s.

1. A Swedish synthpop group from the early 1980s. Their most popular hits were ""Vill Ha Dig"" and ""Fantasi"". Members: Tommy Ekman, Christer Sandelin, Gigi Hamilton, Joakim Hagleitner, Anders Uddberg and Diane Corinne Söderholm. Read more on Last.fm"
163,Fun.,"fun. are an American alternative pop-rock band which formed in New York City in 2008. In February 2015, the band announced that they were not splitting up, but taking some time off to pursue other projects.

The band consists of Nate Ruess (vocals), Andrew Dost (keyboard, bass) and Jack Antonoff (guitar, trumpet). Ruess is a former member of The Format, Andrew Dost is a former member of Anathallo and Jack Antonoff is a member of Steel Train. The band also includes touring members Nate Harold (bass) Read more on Last.fm"
164,Garth Brooks,"Troyal Garth Brooks (born February 7, 1962 in Tulsa, Oklahoma) is an American country music singer songwriter and charity director.

Brooks was a phenomenal musical force in the 1990s. He had his chart breakthrough in 1989, having come apparently from nowhere, and was an immediate commercial success. Lacking the tall and lanky physical appearance typical of some male country stars, he successfully integrated pop and rock elements into his recordings and live performances. Read more on Last.fm"
165,Gary Numan,"Gary Numan (born Gary Anthony James Webb on 8 March 1958) is an influential English singer, composer, and musician. Most widely known for his chart-topping 1979 hits ""Are 'Friends' Electric?"" (when in Tubeway Army) and ""Cars"", Numan achieved his peak of mainstream popularity in the late 70s and early 80s but maintains a loyal cult following. Numan, whose signature sound consists of heavy synthesizer hooks fed through guitar effects pedals, is considered a pioneer of commercial electronic music. Read more on Last.fm"
166,Gary Valenciano,"Edgardo Jose Martin Santiago Valenciano (born August 6, 1964 in Manila, Philippines), better known as Gary Valenciano or Gary V., is a Filipino musician, songwriter, record producer, actor, and dancer. He is best known for many songs, especially those that became theme songs for movies. He is also dubbed as ""Mr. Pure Energy"" for his energetic dance moves. He has released 26 albums, and won the Awit Awards for ""Best Male Performer"" 11 times. In 1998, he became UNICEF Philippines first national Ambassador. Read more on Last.fm"
167,Genesis,"There are at least three bands using the moniker Genesis;

1) Genesis was an English rock band formed at Charterhouse School, Godalming, Surrey, in 1967. The band's longest-existing and most commercially successful line-up consisted of keyboardist Tony Banks, bassist/guitarist Mike Rutherford and drummer/singer Phil Collins. In the 1970s, during which the band also included singer Peter Gabriel and guitarist Steve Hackett, Genesis were among the pioneers of progressive rock. Banks and Rutherford were the only constant members of the group. Read more on Last.fm"
168,George Formby,"George Formby, OBE (26 May 1904 – 6 March 1961), was a British actor, singer-songwriter and comedian. He sang light, comical songs, usually playing the ukulele or banjolele. He was a major star of stage and screen in the 1930s and '40s, when Formby became the UK's highest-paid entertainer. His songs such as ""When I'm Cleaning Windows"" were particularly popular during the Second World War (1939–45).

When he and his wife travelled throughout the war, creating improvised lyrics to songs to fit the situation, they delighted their audiences. Read more on Last.fm"
169,George Harrison,"George Harrison MBE (25 February 1943 – 29 November 2001) born in Liverpool, UK, was an English rock musician, singer-songwriter and film producer who achieved international fame as lead guitarist in The Beatles, along with mainstream success as a solo artist. George contributed to the songwriting talents of his Beatles band mates, John Lennon and Paul McCartney, firstly by adding ideas and guitar parts, and later with his distinctive style of music inspired by Eastern spirituality. Read more on Last.fm"
170,George Jones,"George Glenn Jones (September 12, 1931 – April 26, 2013) was an American musician, singer, and songwriter. He achieved international fame for his long list of hit records, including his best-known song ""He Stopped Loving Her Today"", as well as his distinctive voice and phrasing. For the last two decades of his life, Jones was frequently referred to as the greatest living country singer. Country music scholar Bill Malone writes, ""For the two or three minutes consumed by a song Read more on Last.fm"
171,George Michael,"George Michael (born Georgios Kyriacos Panayiotou; 25 June 1963 – 25 December 2016) was an English singer, songwriter, and record producer. He is one of the best-selling musicians of all time, with his sales estimated at between 100 million to 125 million records worldwide. A prominent figure in popular music, Michael was known as a creative force in songwriting, vocal performance, and visual presentation. He achieved 10 number-one songs on the US Billboard Hot 100 and 13 number-one songs on the UK Singles Chart. Read more on Last.fm"
172,George Strait,"George Strait is a country music singer, songwriter, actor, and producer. Known as the ""King of Country"", Strait is one of the most influential and popular recording artists of all time. Strait has sold more than 100 million records worldwide, making him one of the best-selling music artists of all time. His certifications from the RIAA include 13 multi-platinum, 33 platinum, and 38 gold albums. His best-selling album is Pure Country (1992), which sold 6 million (6× platinum). Read more on Last.fm"
173,Gino Vannelli,"Gino Vannelli (born 16 June 1952 in Montreal, Quebec, Canada) is a Canadian singer/songwriter of Italian ancestry.

From a musical family, his father was a big band musician. Gino Vannelli played drums at a young age and after finishing high school studied musical theory at McGill University.

In the late 60s, he signed to RCA Canada under the name Van Elli. He eventually went to Los Angeles, California where he signed with Herb Alpert's A&M Records after chasing Alpert down in the parking lot of A&M Studios. Read more on Last.fm"
174,Gipsy Kings,"Gipsy Kings is a music group from Arles and Montpellier, France. They explained the evolution of their sound in the 1996 PBS documentary of their lives and music ""Tierra Gitana (Gipsy Land)"". Young brothers Nicolas, Canut and Paul Reyes accompanied their father, famed flamenco singer Jose Reyes, who started out singing ""cante jondo"" (deep chant), traditional flamenco with long-running themes of passion, love, death, etc. But they began playing rumba flamenca because ""we liked to watch pretty girls dance,"" said Nicolas. Read more on Last.fm"
175,Glee,"Glee is a musical comedy television series that airs on Fox. It focuses on a high school glee club set within a high school in Lima, OH.  A preview of the show was broadcast after American Idol on May 19, 2009, where the pilot episode averaged 10 million viewers. A free download of the preview is available on iTunes or can be watched at Hulu.

The first episode featured a mix of music genres, including performances of: 
-Amy Winehouse's ""Rehab""
-""Sit Down, You're Rockin' The Boat"" from Guys and Dolls Read more on Last.fm"
176,Glen Campbell,"Glen Travis Campbell (April 22, 1936 – August 8, 2017) was an American rock and country music singer, musician, songwriter, television host and actor. He is known for a series of hits in the 1960s and 1970s, and for hosting a music and comedy variety show called The Glen Campbell Goodtime Hour on CBS television from January 1969 through June 1972.

During his 50 years in show business, Campbell released more than 70 albums. He sold 45 million records and accumulated 12 RIAA Gold albums, four Platinum albums and one Double-platinum album. Read more on Last.fm"
177,Gloria Estefan,"Gloria Estefan (born Gloria María Fajardo, September 1, 1957, in Havana, Cuba) is a seven-time Grammy Award-winning singer-songwriter, actress and social activist. Known as the ""Queen of Latin Pop"", she in the top 100 best-selling music artists with over 100 million albums sold worldwide, 31.5 million of those in the United States. Estefan is the most successful crossover performer in Latin music to date.

Beginning her career in 1975 as lead vocalist for the then exclusively Spanish-language band Read more on Last.fm"
178,Gloria Gaynor,"Gloria Fowles (born September 7, 1943), better known as Gloria Gaynor, is an American singer-songwriter born in Newark, New Jersey, USA. She is  best-known for her disco era hits ""I Will Survive"" (Hot 100 #1, 1979), ""Never Can Say Goodbye"" (Hot 100 #9, 1974), ""Let Me Know (I Have A Right)"" (Hot 100 #42, 1980) and ""I Am What I Am"" (Hot 100 #82, 1983). Some of her other hits include ""I Never Knew"", ""Just Keep Thinking About You"", ""Last Night"", ""Mighty High"" Read more on Last.fm"
179,GMB,"GMB (Gery Mendes) is a dutch Hiphop producer & singer living in Rotterdam, The Netherlands. He is a son of a Cape Verdean and he is still working his way up in the Dutch music industry. In 2006 he won the Grolsch Grote Prijs ( Grolsch Big Price) for Dutch Hiphop musicians. Right now he has started his own independent label ""Naked truth records"" and he got his first album out: ""This is not an album, this is a phase"". It's available on his record label's site. Read more on Last.fm"
180,Gordon Lightfoot,"Gordon Meredith Lightfoot Jr. CC OOnt (November 17, 1938 – May 1, 2023) was a Canadian singer-songwriter and guitarist who achieved international success in folk, folk-rock, and country music. He is credited with helping to define the folk-pop sound of the 1960s and 1970s. He is often referred to as Canada's greatest songwriter and is known internationally as a folk-rock legend.

Lightfoot's songs, including ""For Lovin' Me"", ""Early Morning Rain"", ""Steel Rail Blues"", ""Ribbon of Darkness""—a number one hit on the U. Read more on Last.fm"
181,Grand Funk Railroad,"Grand Funk Railroad is an American hard rock band that formed in 1969 in Flint, Michigan, United States. Known for iconic rock hits such as the number ones ""We're An American Band"" and their cover version of  ""The Loco-Motion"", the band initially consisted of Mark Farner (vocals, guitar), Mel Schacher (bass) and Don Brewer (drums), with Craig Frost (keyboards) joining in 1972. During their career, the group has released 14 studio albums and their career sales total over 25 million records sold, including 10 million records sold in 1970 alone.  Read more on Last.fm"
182,Grateful Dead,"Grateful Dead was an American rock band formed in 1965 in Palo Alto, California. Remembered for an eclectic style that fused elements of rock, folk, country, jazz, bluegrass, blues, gospel, and psychedelic rock, for live performances of lengthy instrumental jams, and for its devoted fan base known as ""Deadheads."" ""Their music,"" writes Lenny Kaye, ""touches on ground that most other groups don't even know exists."" These various influences were distilled Read more on Last.fm"
183,Grease,"Ezra 'Grease' Sebastian is a rapper.
For the other hip-hopper see Dame Grease.

If you are using ""Grease"" as an artist name for the Grease soundtrack, please change to the correct artist; John Travolta & Olivia Newton-John, etc. The easiest way is to use Picard. Read more on Last.fm"
184,Great Big Sea,"Great Big Sea was a Canadian folk rock/celtic rock band from Newfoundland and Labrador, best known for performing energetic rock interpretations of traditional Newfoundland folk songs including sea shanties, which draw from the island's 500-year Irish, Scottish, and Cornish heritage. The band was very successful in Canada, with eleven of their albums being certified Gold in the country, including four being certified Platinum and two achieving multi-platinum certifications. Read more on Last.fm"
185,Green Day,"Green Day is an American punk rock band formed in the East Bay of California in 1987 by lead vocalist and guitarist Billie Joe Armstrong together with bassist and backing vocalist Mike Dirnt. For most of the band's career, they have been a power trio with drummer Tré Cool, who replaced John Kiffmeyer in 1990 before the recording of the band's second studio album, Kerplunk (1991). Before taking its current name in 1989, Green Day was called Blood Rage, then Sweet Children. Read more on Last.fm"
186,Gucci Mane,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album Read more on Last.fm"
187,Guided By Voices,"Guided by Voices is an American indie rock band formed in Dayton, Ohio, United States in 1983. The band's lineup has changed several times throughout the band's history, with its only constant member being singer/songwriter Robert Pollard. The band's current lineup consists of Robert Pollard (vocals, guitar), Bobby Bare Jr. (guitar), Doug Gillard (guitar), Mark Shue (bass) and Kevin March (drums). The band's 39th album, Nowhere to Go But Up, was released on November 24, 2023. Read more on Last.fm"
188,Guns N' Roses,"Guns N' Roses is an American hard rock band founded in Los Angeles, California in 1985. 

The band has released six studio albums: Appetite For Destruction in 1987, G N' R Lies in 1988, Use Your Illusion I and Use Your Illusion II in 1991, ""The Spaghetti Incident?"" in 1993 and, after 15 years and with frontman Axl Rose and keyboardist Dizzy Reed being the only members left from the previous lineup, Chinese Democracy in 2008. They also released three EP's in 1986, 1988, and 1993 and two live albums, in 1999 and 2014. Read more on Last.fm"
189,Halloween,"There are 10 different groups/artists with this name:

1.) Halloween, an American heavy metal band that formed in 1984. They bill themselves as Detroit's Horror Show. Their carrer spans from 1983 to date.  www.halloweentheband.us

2) Italian heavy metal band (1981-1987).

3.) Halloween, a French symphonic prog band. They existed between 1988-2002 and recorded 5 albums.

4.) Halloween, an obscure 70's Disco-Band. They only recorded one album, ""Come See What's It All About"". Read more on Last.fm"
190,Hank Snow,"Clarence Eugene ""Hank"" Snow (Born May 9, 1914 in Brooklyn, Queens County, Nova Scotia; died December 20, 1999) was a Canadian country music singer-songwriter.
Perhaps best known for his distinct yodelling, he charted more than seventy singles on the Billboard country charts from 1950 until 1980, including the Number One hits 'I'm Movin' On' and 'I Don't Hurt Anymore'. Performing in lavish and colourful sequin-studded suits, Snow had a career covering six decades during which he sold more than 80 million albums Read more on Last.fm"
191,Hank Williams,"Hank Williams (September 17, 1923 – January 1, 1953), born Hiram King Williams, was an American singer-songwriter and musician regarded as one of the most important country music artists of all time. Williams recorded 35 singles (five released posthumously) that would place in the Top 10 of the Billboard Country & Western Best Sellers chart, including 11 that ranked number one.

Born in Mount Olive, Butler County, Alabama, Williams moved to Georgiana Read more on Last.fm"
192,Hank Williams Jr.,"Randall Hank Williams (born May 26, 1949), known professionally as Hank Williams Jr. or alternatively as Hank Jr. or Bocephus, is an American singer-songwriter and musician. His musical style is often considered a blend of Southern rock, blues, and country. He is the son of country music singer Hank Williams; the half-brother of Jett Williams; and the father of Hank Williams III, Holly Williams, Hilary Williams, Sam Williams, and the late Katherine Williams-Dunning. Read more on Last.fm"
193,Hanson,"There are at least two artists which have used the name Hanson
1. A pop rock group from Oklahoma, United States
2. A funk rock group from the United Kingdom active in the 1970's.

1. Hanson are an American pop rock band from Tulsa, Oklahoma. The band consists of guitarist and vocalist Isaac Hanson (born November 17, 1980) pianist and vocalist Taylor Hanson (born March 14, 1983), and drummer and vocalist Zac Hanson (born October 22, 1985). Their work has spanned many different genres, including rock, blues, folk, and pop. Read more on Last.fm"
194,Happy Mondays,"Happy Mondays are an alternative rock band formed in Salford, Greater Manchester, U.K. in 1985, notable for being a forerunner of the immensely popular neo-psychedelic   indie-dance movement (known as 'madchester' for some groups) that mashed up funk, pop, rock, and other genres. Still touring to this day, the band is fronted by Shaun Ryder, who formed the band with his bass-playing brother Paul Ryder. The classic line-up for the rest of the band consisted of their friend Bez Read more on Last.fm"
195,Harry Belafonte,"Harry Belafonte (born Harold George Bellanfanti Jr. in Harlem, NYC, on 1 March 1927; died 25 April 2023) was an American singer, activist, and actor. As arguably the most successful Caribbean-American pop star, he popularized Jamaican mento folk songs which was marketed as Trinbagonian Calypso musical style with an international audience in the 1950s. His breakthrough album Calypso, released in 1956, was the first million-selling LP by a single artist.  Read more on Last.fm"
196,"Harry Connick, Jr.","Joseph Harry Fowler Connick, Jr.  (born September 11, 1967) is an American singer, pianist, composer, actor, and humanitarian. Connick’s music encompasses jazz, some of it very much in the style of the crooners of the 1940s and early 1950s, funk and blues.

Harry Connick, Jr. was born in New Orleans to Anita and Harry Connick, Sr. His mother was Jewish and his father was Irish Catholic. Connick's musical talent was evident from a young age and he studied at the New Orleans Center for Creative Arts under Ellis Marsalis and James Booker. Read more on Last.fm"
197,Heart,"Heart is an American rock band formed in 1970 in Seattle, Washington, by Steve Fossen (bass guitar), Roger Fisher (guitar), David Belzer (keyboards), and Jeff Johnson (drums). It evolved from an existing band, White Heart. The vocalists for Heart are sisters Ann Wilson (lead vocals, flute, guitar) (born June 19, 1950) and Nancy Wilson (vocals, guitar, mandolin) (born March 16, 1954).

Heart rose to fame in the mid-to-late-1970s with music influenced by hard rock and heavy metal, as well as folk music. Read more on Last.fm"
198,Helloween,"Helloween is a German power metal band founded in 1984 in Hamburg by members of bands Iron Fist, Gentry, Second Hell and Powerfool. Its first lineup consisted of singer and guitarist Kai Hansen, bassist Markus Grosskopf, guitarist Michael Weikath and drummer Ingo Schwichtenberg. By the time Hansen quit Helloween in 1989 to form Gamma Ray, the band had evolved into a five-piece, with Michael Kiske taking over as lead vocalist. Schwichtenberg and Kiske Read more on Last.fm"
199,High School Musical,"High School Musical is a 2006 American television film, and the first in the High School Musical film franchise. Upon its release on January 20, 2006, it became the most successful movie that Disney Channel Original Movie (DCOM) ever produced, with a television sequel High School Musical 2 released in 2007 and the feature film High School Musical 3: Senior Year released to theaters in October 2008. It is the first Disney Channel Original Movie to have a theatrical sequel. Read more on Last.fm"
200,Hillsong,"Hillsong Music is Christian music produced by Hillsong Church in Sydney, Australia as well as offshoot churches, Hillsong London, and Hillsong Kiev. Hillsong albums are released and distributed by Hillsong Music. The main groups are Hillsong Worship, Hillsong United, Hillsong Young & Free, and Hillsong Kids. 

(From: https://en.wikipedia.org/wiki/Hillsong_Music_(label)) Read more on Last.fm"
201,Hillsong United,"Hillsong United is an Australian worship band. They started as the youth ministry band from Hillsong Church in Australia. Their music is praise and worship with a contemporary style that is a mix of contemporary Christian music and mainstream rock. The band was formerly named ""United Live"" and was led by Reuben Morgan and Marty Sampson. United Live made its first album in 1999 after a suggestion from worship pastor Darlene Zschech to Reuben Morgan. Read more on Last.fm"
202,HIM,"There are multiple artists with this name;

1) HIM (sometimes stylized as H.I.M.) were a Finnish gothic rock band from Helsinki, Finland. Formed in 1991 by vocalist Ville Valo and bassist Mikko ""Mige"" Paananen under the name His Infernal Majesty, the band broke up in 1993, before being reformed in 1995 by Valo and guitarist Mikko ""Linde"" Lindström. After being rejoined by Mige, as well as new additions keyboardist Antto Melasniemi and drummer Juhana ""Pätkä"" Rantala, the band, now called HIM, released their debut album Greatest Lovesongs Vol. Read more on Last.fm"
203,Hollies,"The Hollies are an English pop and rock group, formed in Manchester in the early 1960s, though most of the band members are from throughout East Lancashire. Known for their distinctive vocal harmony style, they became one of the leading British groups of the 1960s and 1970s. They enjoyed considerable popularity in many countries, although they did not achieve major US chart success until 1966. Along with The Rolling Stones and The Searchers, they Read more on Last.fm"
204,Hooverphonic,"Hooverphonic is a Belgian rock/pop group formed in 1995. Though initially placed in the trip-hop genre, they quickly expanded their sound to the point where they could no longer be classified so easily. The band originally called themselves Hoover but later changed their name to Hooverphonic due to other groups using the Hoover name.

The band achieved international recognition through the inclusion of the track 2Wicky (from A New Stereophonic Sound Read more on Last.fm"
205,Horrible Histories,"Horrible Histories first began as a book series, written by Terry Deary. Then, in 2009, it was decided that it was to be made a children's comedy, historical sketch show.  In 2011, the show had become very successful and has won many awards, such as Best Sketch Show at the BAFTAs. Series 4 began in April 2012, and the writers have already started writing series 5. The stars of the show feature Mathew Baynton (Gavin & Stacey), Ben Willbond, Jim Howick, Laurence Rickard, as well as many others.  Read more on Last.fm"
206,Housemartins,Read more on Last.fm
207,Howard Jones,"Howard Jones (born John Howard Jones on February 23, 1955) is an English singer and songwriter.

He is the eldest of three boys. His birthplace is Southampton, England, and he spent his early years in High Wycombe in Buckinghamshire, and attended the Royal Grammar School. He now lives with his family in Somerset, England.

When he was young, he used to give piano lessons. One of his clients was a girl named Jan Smith, who he later married. Whilst working with her, a vehicle crashed into their van, injuring Jan. Read more on Last.fm"
208,Human League,Incorrect tag for the band  The Human League. Keep stats clean and add the correct artist name to your ID3 tags to avoid incorrect or duplicate artists. Read more on Last.fm
209,Ian Hunter,"Ian Hunter (born Ian Hunter Patterson on June 3, 1939 in Oswestry, Shropshire, England) was the lead singer of the band Mott the Hoople from 1969 until the band broke up in 1974. He has since worked as a solo artist.

Hunter began his musical career on the bass guitar. An early foray into music was as an entrant in a talent competition at one of Butlin's holiday camps, performing ""Blue Moon"" as part of a skiffle group with Colen York and Colin Broome. Read more on Last.fm"
210,Ice Cube,"O'Shea Jackson Sr. (born June 15, 1969), known professionally as Ice Cube, is an American rapper and actor. He began his career as a member of the hip-hop group C.I.A. and later joined the seminal rap group N.W.A (Niggaz Wit Attitudes). After leaving N.W.A in December 1989, he began both a successful solo music career and an acting career which included roles in films such as Boyz n the Hood (1991), Friday (1995), for which he also co-wrote the screenplay, and Barbershop (2002). Read more on Last.fm"
211,Idina Menzel,"Idina Kim Menzel (pronounced /ɪˈdiːnə mɛnˈzɛl/; née Mentzel; born May 30, 1971) is an American actress, singer and songwriter. She is widely known for originating the roles of Maureen in Rent and Elphaba in Wicked, and for voicing the character Elsa in the Disney movie Frozen.

Idina was born on Long Island, New York, to a Jewish family. Her mother, Helene, is a therapist, and her father, Stuart Mentzel, worked as a pajama salesman. She was raised in Syosset Read more on Last.fm"
212,Iggy Pop,"Iggy Pop (born James Newell Osterberg, Jr.; April 21, 1947) is an American singer, songwriter, musician, and actor. Though widely known as an innovator and ""godfather"" of punk rock, Pop's music has encompassed a number of styles over the years, including pop, hard rock, jazz and blues. Pop became known as 'Iggy' in high school, during which time he served as drummer for local blues band The Iguanas. He is vocalist of influential proto-punk band The Stooges (Pop and the other surviving members of the group reunited in 2003) Read more on Last.fm"
213,Il Divo,"Il Divo, Italian for ""divine male performer,"" is an international operatic pop vocal group under the Sony BMG music label from United Kingdom. Il Divo is formed by singers David Miller, Sébastien Izambard, Urs Bühler, and Carlos Marín.

The idea behind this quartet's creation came to Simon Cowell after listening to Andrea Bocelli and Sarah Brightman's rendition of ""Con Te Partirò."" He realized he loved lyrical voices but not opera, so he decided to form a multinational quartet (France Read more on Last.fm"
